step,n_contracts,n_episodes,share_of_prior_step
all_contracts,661949,664416,
initial_proposal_observed,661949,664416,1.0
final_terminal_state_mapped,605981,608434,0.9154496796581005
"disputed_contracts (D_i=1, including unresolved)",2221,4549,0.003665131415011362
    of which: disputed_unresolved (pending DVM),12,25,0.005402971634398919
disputed_with_mapped_final_state (analysis sample),2208,4522,0.9941467807294012
multi_episode_disputed,2206,4520,0.9990942028985508
flipped_disputed,530,1095,0.24003623188405798
terminal_ambiguity_disputed,11,23,0.004981884057971014
